Timestamp;IP_Origen;MetodoHTTP;URL_Solicitada;CodigoEstadoHTTP;UserAgent
2025-03-08 07:15:45;27.179.71.35;GET;/robots.txt?page=probably;200;"Opera/9.86.(X11; Linux i686; wal-ET) Presto/2.9.185 Version/12.00"
2025-03-21 13:07:49;135.96.226.60;GET;/index.html;200;"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/37.0.807.0 Safari/532.0"
2025-03-26 07:37:49;159.199.82.113;GET;/static/css/style.css;200;"Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.2; Trident/4.1)"
2025-03-10 06:13:42;123.15.251.247;GET;/productos/item/4104;404;"Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/3.1)"
2025-03-06 15:23:37;178.79.74.85;GET;/contacto.php;200;"Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/3.1)"
2025-03-10 05:17:11;43.171.79.25;GET;/contacto;200;"Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/4.0)"
2025-03-28 10:01:25;160.57.173.69;GET;/index.html;204;"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/531.46.3 (KHTML, like Gecko) Version/4.0.3 Safari/531.46.3"
2025-03-30 17:28:28;18.218.206.252;GET;/images/logo.png;200;"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_9) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/41.0.823.0 Safari/535.0"
2025-03-04 23:49:24;48.154.169.180;GET;/images/logo.png;200;"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; gl-ES) AppleWebKit/532.33.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6532.33.1"
2025-03-26 23:40:14;185.95.97.218;GET;/static/css/style.css;401;"Opera/8.30.(X11; Linux x86_64; ik-CA) Presto/2.9.176 Version/10.00"
2025-03-14 08:54:56;163.157.78.145;GET;/productos/item/2418;200;"Mozilla/5.0 (Android 4.0.1; Mobile; rv:63.0) Gecko/63.0 Firefox/63.0"
2025-03-08 11:30:00;172.153.96.152;GET;/login;401;"Mozilla/5.0 (Windows NT 6.2; fur-IT; rv:1.9.2.20) Gecko/2356-06-27 12:25:22 Firefox/3.8"
2025-03-13 09:31:42;74.246.4.242;OPTIONS;/robots.txt;200;"Mozilla/5.0 (iPad; CPU iPad OS 12_4_8 like Mac OS X) AppleWebKit/535.2 (KHTML, like Gecko) FxiOS/17.9y9460.0 Mobile/83I131 Safari/535.2"
2025-03-02 18:01:25;26.182.88.194;GET;/api/v1/usuarios;200;"Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/4.1)"
2025-03-21 23:03:10;106.153.29.85;GET;/api/v1/datos.php;500;"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_3 like Mac OS X; ku-TR) AppleWebKit/532.49.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B114 Safari/6532.49.1"
2025-03-04 03:47:23;19.111.70.119;GET;/api/v1/datos;200;"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/532.1 (KHTML, like Gecko) FxiOS/9.3s7144.0 Mobile/88G895 Safari/532.1"
2025-03-26 04:10:24;13.70.246.183;POST;/static/css/style.css;200;"Mozilla/5.0 (iPhone; CPU iPhone OS 17_1 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/54.0.833.0 Mobile/87N018 Safari/532.2"
2025-03-19 20:55:55;183.196.198.213;HEAD;/categorias/1094.jsp;200;"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; ru-RU) AppleWebKit/532.35.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B114 Safari/6532.35.5"
2025-03-14 14:16:41;88.217.84.166;GET;/api/v1/usuarios.asp;301;"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/42.0.884.0 Safari/533.0"
2025-03-31 00:02:42;221.249.89.20;GET;/static/js/main.js;200;"Opera/9.38.(Windows NT 5.0; brx-IN) Presto/2.9.188 Version/12.00"
2025-03-22 18:57:15;113.167.139.28;GET;/api/v1/usuarios;200;"Mozilla/5.0 (Android 2.3.4; Mobile; rv:52.0) Gecko/52.0 Firefox/52.0"
2025-03-29 02:59:50;115.74.17.247;GET;/search?q=.jspbuy;404;"Mozilla/5.0 (Android 5.1.1; Mobile; rv:49.0) Gecko/49.0 Firefox/49.0"
2025-03-12 02:36:33;99.245.12.254;GET;/login.asp;404;"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_2) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/47.0.854.0 Safari/534.1"
2025-03-03 22:31:04;49.127.62.112;POST;/static/css/style.css;200;"Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/5.0)"
2025-03-21 00:33:02;134.44.137.133;HEAD;/robots.txt;200;"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/5.1)"
2025-03-31 14:37:05;28.176.193.129;HEAD;/carrito.asp;200;"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/532.5.6 (KHTML, like Gecko) Version/5.1 Safari/532.5.6"
2025-03-25 14:27:08;94.168.134.120;POST;/categorias/647.php;200;"Mozilla/5.0 (Windows 98; Win 9x 4.90; rw-RW; rv:1.9.0.20) Gecko/9001-10-13 08:06:26 Firefox/4.0"
2025-03-16 15:56:50;73.175.49.221;GET;/index.html;200;"Opera/8.25.(Windows NT 5.1; om-KE) Presto/2.9.164 Version/10.00"
2025-03-08 16:00:42;27.190.67.37;GET;/contacto.jsp;200;"Mozilla/5.0 (iPhone; CPU iPhone OS 17_2 like Mac OS X) AppleWebKit/531.0 (KHTML, like Gecko) FxiOS/13.5w2686.0 Mobile/56H295 Safari/531.0"
2025-03-30 07:05:20;139.224.181.177;POST;/search?q=.aspdirection;404;"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/47.0.837.0 Safari/532.1"
2025-03-03 22:01:52;2.215.126.143;GET;/contacto;200;"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; bo-IN) AppleWebKit/533.28.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6533.28.6"
